1477002686 3 17 0 18 0 19 1 0 2 0 0 0 12 0 0 0 0 0 0 0
1477002801 3 17 0 19 0 19 1 0 2 0 0 0 12 0 0 0 0 0 0 0
1477002954 3 17 0 20 0 19 1 0 2 0 0 0 12 0 0 0 0 0 0 0
1477002993 3 17 0 21 0 19 1 0 2 0 0 0 12 0 0 0 0 0 0 0
1477004394 3 17 0 22 0 19 1 0 2 0 0 0 12 0 0 0 0 0 0 0
1477017772 4 17 0 22 0 19 1 0 2 0 0 0 12 0 0 0 0 0 0 0
1477018013 5 17 0 22 0 19 1 0 2 0 0 0 12 0 0 0 0 0 0 0
1477103780 6 17 0 22 0 19 1 0 2 0 0 0 12 0 0 0 0 0 0 0
1477427653 6 17 0 22 0 20 1 0 2 0 0 0 12 0 0 0 0 0 0 0
1477428449 7 17 0 22 0 20 1 0 2 0 0 0 12 0 0 0 0 0 0 0
1477428560 8 17 0 22 0 20 1 0 2 0 0 0 12 0 0 0 0 0 0 0
1477429779 8 18 0 22 0 20 1 0 2 0 0 0 12 0 0 0 0 0 0 0
1477429809 8 19 0 22 0 20 1 0 2 0 0 0 12 0 0 0 0 0 0 0
1477429857 8 20 0 22 0 20 1 0 2 0 0 0 12 0 0 0 0 0 0 0
1477429979 8 21 0 22 0 20 1 0 2 0 0 0 12 0 0 0 0 0 0 0
1477431345 8 21 0 23 0 20 1 0 2 0 0 0 12 0 0 0 0 0 0 0
1477431388 8 21 0 24 0 20 1 0 2 0 0 0 12 0 0 0 0 0 0 0
1477431452 8 21 0 25 0 20 1 0 2 0 0 0 12 0 0 0 0 0 0 0
1477431739 8 21 0 26 0 20 1 0 2 0 0 0 12 0 0 0 0 0 0 0
1477432438 8 21 0 27 0 20 1 0 2 0 0 0 12 0 0 0 0 0 0 0
1477433487 8 21 0 28 0 20 1 0 2 0 0 0 12 0 0 0 0 0 0 0
1477434192 8 21 0 29 0 20 1 0 2 0 0 0 12 0 0 0 0 0 0 0
1477434226 8 21 0 30 0 20 1 0 2 0 0 0 12 0 0 0 0 0 0 0
1477434429 8 21 0 31 0 20 1 0 2 0 0 0 12 0 0 0 0 0 0 0
1477434455 8 21 0 32 0 20 1 0 2 0 0 0 12 0 0 0 0 0 0 0
1477437123 8 22 0 32 0 20 1 0 2 0 0 0 12 0 0 0 0 0 0 0
1477437347 8 22 0 33 0 20 1 0 2 0 0 0 12 0 0 0 0 0 0 0
1477437640 8 23 0 33 0 20 1 0 2 0 0 0 12 0 0 0 0 0 0 0
1477437661 8 24 0 33 0 20 1 0 2 0 0 0 12 0 0 0 0 0 0 0
1477439382 8 25 0 33 0 20 1 0 2 0 0 0 12 0 0 0 0 0 0 0
1477446337 9 25 0 33 0 20 1 0 2 0 0 0 12 0 0 0 0 0 0 0
1477532484 10 25 0 33 0 20 1 0 2 0 0 0 12 0 0 0 0 0 0 0
1477532831 11 25 0 33 0 20 1 0 2 0 0 0 12 0 0 0 0 0 0 0
1477594659 11 25 0 33 0 21 1 0 2 0 0 0 12 0 0 0 0 0 0 0
1477597836 11 25 0 33 0 22 1 0 2 0 0 0 12 0 0 0 0 0 0 0
1477601353 11 25 0 33 0 23 1 0 2 0 0 0 12 0 0 0 0 0 0 0
1477601656 11 25 0 33 0 23 1 0 3 0 0 0 12 0 0 0 0 0 0 0
1477601881 11 25 0 33 0 23 1 0 4 0 0 0 12 0 0 0 0 0 0 0
1477608309 11 26 0 33 0 23 1 0 4 0 0 0 12 0 0 0 0 0 0 0
1477608360 11 27 0 33 0 23 1 0 4 0 0 0 12 0 0 0 0 0 0 0
1477701327 12 27 0 33 0 23 1 0 4 0 0 0 12 0 0 0 0 0 0 0
1477877463 13 27 0 33 0 23 1 0 4 0 0 0 12 0 0 0 0 0 0 0
1478027852 13 27 0 33 0 24 1 0 4 0 0 0 12 0 0 0 0 0 0 0
1478032789 13 28 0 33 0 24 1 0 4 0 0 0 12 0 0 0 0 0 0 0
1478033343 14 28 0 33 0 24 1 0 4 0 0 0 12 0 0 0 0 0 0 0
1478033377 14 29 0 33 0 24 1 0 4 0 0 0 12 0 0 0 0 0 0 0
1478033534 14 29 0 34 0 24 1 0 4 0 0 0 12 0 0 0 0 0 0 0
1478034674 14 29 0 34 0 25 1 0 4 0 0 0 12 0 0 0 0 0 0 0
1478034693 14 29 0 35 0 25 1 0 4 0 0 0 12 0 0 0 0 0 0 0
1478034713 14 29 0 35 0 26 1 0 4 0 0 0 12 0 0 0 0 0 0 0
1478036594 14 30 0 35 0 26 1 0 4 0 0 0 12 0 0 0 0 0 0 0
1478037640 14 30 0 36 0 26 1 0 4 0 0 0 12 0 0 0 0 0 0 0
1478037952 14 31 0 36 0 26 1 0 4 0 0 0 12 0 0 0 0 0 0 0
1478038130 14 31 0 36 0 26 2 0 4 0 0 0 12 0 0 0 0 0 0 0
1478038338 14 31 0 36 0 26 3 0 4 0 0 0 12 0 0 0 0 0 0 0
1478038462 14 32 0 36 0 26 3 0 4 0 0 0 12 0 0 0 0 0 0 0
1478040209 14 32 0 36 0 27 3 0 4 0 0 0 12 0 0 0 0 0 0 0
1478041261 14 32 0 36 0 28 3 0 4 0 0 0 12 0 0 0 0 0 0 0
1478041419 14 32 0 36 0 28 4 0 4 0 0 0 12 0 0 0 0 0 0 0
1478041436 14 32 0 36 0 28 5 0 4 0 0 0 12 0 0 0 0 0 0 0
1478043101 14 33 0 36 0 28 5 0 4 0 0 0 12 0 0 0 0 0 0 0
1478043222 14 34 0 36 0 28 5 0 4 0 0 0 12 0 0 0 0 0 0 0
1478046335 15 34 0 36 0 28 5 0 4 0 0 0 12 0 0 0 0 0 0 0
1478046507 16 34 0 36 0 28 5 0 4 0 0 0 12 0 0 0 0 0 0 0
1478046985 17 34 0 36 0 28 5 0 4 0 0 0 12 0 0 0 0 0 0 0
1478047069 18 34 0 36 0 28 5 0 4 0 0 0 12 0 0 0 0 0 0 0
1478047138 19 34 0 36 0 28 5 0 4 0 0 0 12 0 0 0 0 0 0 0
1478047373 20 34 0 36 0 28 5 0 4 0 0 0 12 0 0 0 0 0 0 0
1478047643 21 34 0 36 0 28 5 0 4 0 0 0 12 0 0 0 0 0 0 0
1478205967 21 35 0 36 0 28 5 0 4 0 0 0 12 0 0 0 0 0 0 0
1478205980 21 36 0 36 0 28 5 0 4 0 0 0 12 0 0 0 0 0 0 0
1478207250 21 36 0 36 0 29 5 0 4 0 0 0 12 0 0 0 0 0 0 0
1478207256 21 36 0 36 0 30 5 0 4 0 0 0 12 0 0 0 0 0 0 0
1478207389 21 36 0 36 0 30 5 0 5 0 0 0 12 0 0 0 0 0 0 0
1478207455 21 36 0 36 0 30 5 0 6 0 0 0 12 0 0 0 0 0 0 0
1478207590 21 36 0 36 0 30 6 0 6 0 0 0 12 0 0 0 0 0 0 0
1478207902 21 37 0 36 0 30 6 0 6 0 0 0 12 0 0 0 0 0 0 0
1478207952 21 38 0 36 0 30 6 0 6 0 0 0 12 0 0 0 0 0 0 0
1478208497 22 38 0 36 0 30 6 0 6 0 0 0 12 0 0 0 0 0 0 0
1478208678 23 38 0 36 0 30 6 0 6 0 0 0 12 0 0 0 0 0 0 0
1478210055 23 39 0 36 0 30 6 0 6 0 0 0 12 0 0 0 0 0 0 0
1478210182 23 40 0 36 0 30 6 0 6 0 0 0 12 0 0 0 0 0 0 0
1478213110 24 40 0 36 0 30 6 0 6 0 0 0 12 0 0 0 0 0 0 0
1478213297 25 40 0 36 0 30 6 0 6 0 0 0 12 0 0 0 0 0 0 0
1478213616 25 40 0 37 0 30 6 0 6 0 0 0 12 0 0 0 0 0 0 0
1478213702 25 40 0 38 0 30 6 0 6 0 0 0 12 0 0 0 0 0 0 0
1478213740 26 40 0 38 0 30 6 0 6 0 0 0 12 0 0 0 0 0 0 0
1478214939 26 41 0 38 0 30 6 0 6 0 0 0 12 0 0 0 0 0 0 0
1478229847 27 41 0 38 0 30 6 0 6 0 0 0 12 0 0 0 0 0 0 0
1478229882 28 41 0 38 0 30 6 0 6 0 0 0 12 0 0 0 0 0 0 0
1478495447 29 41 0 38 0 30 6 0 6 0 0 0 12 0 0 0 0 0 0 0
1478642017 29 42 0 38 0 30 6 0 6 0 0 0 12 0 0 0 0 0 0 0
1478645482 29 43 0 38 0 30 6 0 6 0 0 0 12 0 0 0 0 0 0 0
1478646385 29 43 0 38 0 31 6 0 6 0 0 0 12 0 0 0 0 0 0 0
1478646443 29 43 0 38 0 32 6 0 6 0 0 0 12 0 0 0 0 0 0 0
1478646633 29 44 0 38 0 32 6 0 6 0 0 0 12 0 0 0 0 0 0 0
1478646983 29 45 0 38 0 32 6 0 6 0 0 0 12 0 0 0 0 0 0 0
1478649063 29 45 0 38 0 32 6 0 7 0 0 0 12 0 0 0 0 0 0 0
1478649275 29 45 0 39 0 32 6 0 7 0 0 0 12 0 0 0 0 0 0 0
1478649336 29 45 0 40 0 32 6 0 7 0 0 0 12 0 0 0 0 0 0 0
1478649422 29 45 0 40 0 32 6 0 8 0 0 0 12 0 0 0 0 0 0 0
1478650935 29 46 0 40 0 32 6 0 8 0 0 0 12 0 0 0 0 0 0 0
1478810225 30 46 0 40 0 32 6 0 8 0 0 0 12 0 0 0 0 0 0 0
1478814960 30 47 0 40 0 32 6 0 8 0 0 0 12 0 0 0 0 0 0 0
1478815413 31 47 0 40 0 32 6 0 8 0 0 0 12 0 0 0 0 0 0 0
1478815564 31 47 0 40 0 33 6 0 8 0 0 0 12 0 0 0 0 0 0 0
1478815734 31 48 0 40 0 33 6 0 8 0 0 0 12 0 0 0 0 0 0 0
1478815787 31 49 0 40 0 33 6 0 8 0 0 0 12 0 0 0 0 0 0 0
1478817915 31 49 0 40 0 33 7 0 8 0 0 0 12 0 0 0 0 0 0 0
1478818622 32 49 0 40 0 33 7 0 8 0 0 0 12 0 0 0 0 0 0 0
1478818650 33 49 0 40 0 33 7 0 8 0 0 0 12 0 0 0 0 0 0 0
1478818808 34 49 0 40 0 33 7 0 8 0 0 0 12 0 0 0 0 0 0 0
1478823117 34 50 0 40 0 33 7 0 8 0 0 0 12 0 0 0 0 0 0 0
1479244408 34 50 0 40 0 34 7 0 8 0 0 0 12 0 0 0 0 0 0 0
1479244772 34 50 0 40 0 34 7 0 9 0 0 0 12 0 0 0 0 0 0 0
1479245113 34 50 0 40 0 34 7 0 10 0 0 0 12 0 0 0 0 0 0 0
1479246302 34 50 0 41 0 34 7 0 10 0 0 0 12 0 0 0 0 0 0 0
1479246894 34 51 0 41 0 34 7 0 10 0 0 0 12 0 0 0 0 0 0 0
1479247514 34 51 0 41 0 35 7 0 10 0 0 0 12 0 0 0 0 0 0 0
